clasificación de los rines por tipos según la distancia entre pernos entre marcas y modelos,,,,,,, PCD = Distancia del perno al centro
,MARCA,MODELO,PCD,AÑO,,,
,VOLKSWAGEN,Golf,4x100,1974-1992,,,
,BYD,F3,4x100,2006-2012,,,
,BYD,new F3,4x100,2006-2012,,,
,CHEVROLET,Aveo ,4x100,2003-2012,,,
,DAIHATSU,Sirion,4x100,1998-2008,,,
,GEELY,MK taxi,4x100,2010-2016,,,
,HONDA,Fit,4x100,2001-2016,,,
,MINI,Mini,4x100,2001-2016,,,
,MITSUBISHI,Mirage,4x100,1991,,,
,MITSUBISHI,Mirage,4x100,1993-2003,,,
,NISSAN,March,4x100,1989-2016,,,
,NISSAN,Note,4x100,2005-2016,,,
,NISSAN,Tiida,4x100,2004-2006,,,
,RENAULT,Logan,4x100,2004-2016,,,
,RENAULT,Sandero,4x100,2007-2016,,,
,RENAULT,Scenic,4x100,1998-2008,,,
,RENAULT,Stepway,4x100,2008-2016,,,
,SEAT,Ibiza,4x100,1993-2002,,,
,SEAT,Toledo,4x100,1991-1992,,,
,SUZUKI,Ciaz,4x100,2012-2016,,,
,TOYOTA,Corolla,4x100,1990-2002,,,
,VOLKSWAGEN,Passat,4x100,1990-1997,,,
,VOLKSWAGEN,Vento,4x100,1984-1998,,,
,VOLKSWAGEN,Voyage,4x100,2010-2016,,,
,BYD,F0,4x100,2006-2012,,,
,CHEVROLET,Corsa,4x100,2000-2016,,,
,CHEVROLET,Spark GT,4x100,2013-2016,,,
,FORD,Laser,4x100,1990-2007,,,
,GEELY,CK Taxi,4x100,2010-2016,,,
,GEELY,LC,4x100,2010-2016,,,
,HIUNDAY,accent,4x100,2000-2016,,,
,HIUNDAY,Getz,4x100,2002-2008,,,
,HIUNDAY,Grand city taxi,4x100,2013-2016,,,
,HIUNDAY,I10,4x100,2008-2015,,,
,HIUNDAY,I10 sedan,4x100,2014-2016,,,
,HIUNDAY,I25 sedan,4x100,2014-2016,,,
,JAC,J2,4x100,2011-2014,,,
,JAC,J3,4x100,2011-2016,,,
,KIA,Picanto ion,4x100,2004-2016,,,
,KIA,Rio ,4x100,2000-2016,,,
,MAZDA,2,4x100,2008-2016,,,
,MAZDA,Allegro,4x100,1990-2004,,,
,MITSUBISHI,Lancer,4x100,1991-2006,,,
,NISSAN,Almera ,4x100,1994-1999,,,
,RENAULT,Clio,4x100,1990-2016,,,
,RENAULT,Express taxi,4x100,2012-2016,,,
,RENAULT,kangoo,4x100,1998-2012,,,
,RENAULT,Simbol,4x100,1999-2016,,,
,SUZUKI,Celerio,4x100,2015-2016,,,
,SUZUKI,Dzire,4x100,2012-2016,,,
,SUZUKI,Swift Live,4x100,2004-2016,,,
,VOLKSWAGEN,Polo,4x100,1990-2000,,,
,VOLKSWAGEN,Saveiro,4x100,2010-2014,,,
,,,,,,,
1.2.13,CHERY,Qq 311,"4x114,3",2011-2016,,,
"5,5-6-6,5-7-7,5""",CHEVROLET,sprint,"4x114,3",1995-2005,,,
,DAEWOO,Matiz,"4x114,3",2000-2012,,,
,HIUNDAY,Atos,"4x114,3",1997-2001,,,
,HIUNDAY,Excel,"4x114,3",1985-1998,,,
,,,,,,,
1.2.14,CHERY,Qq,"4x114,3",2011-2016,,,
"5,5-6-6,5""",CHERY,Vancargo,"4x114,3",2011-2016,,,
,CHERY,Vanpass,"4x114,3",2011-2016,,,
,CHERY,Y380 cargo,"4x114,3",2011-2016,,,
,CHERY,Yoya,"4x114,3",2011-2016,,,
,CHEVROLET,N300 cargo,"4x114,3",2010-2016,,,
,CHEVROLET,N300 pasajeros,"4x114,3",2010-2016,,,
,CHEVROLET,sail,"4x114,3",2012-2016,,,
,DAEWOO,Nubira,"4x114,3",1997-2007,,,
,DAEWOO,Tacuma,"4x114,3",2000-2002,,,
,HAIMA,2,"4x114,3",2011-2016,,,
,HIUNDAY,accent,"4x114,3",1994-1999,,,
,MAZDA,626,"4x114,3",1987-1997,,,
,MITSUBISHI,Lancer,"4x114,3",2007,,,
,RENAULT,Scala,"4x114,3",2010-2016,,,
,MAZDA,323,"4x114,3",2003-2005,,,
,CHERY,Qq 311,"4x114,3",2011-2016,,,
,CHEVROLET,sprint,"4x114,3",1995-2005,,,
,DAEWOO,Matiz,"4x114,3",2000-2012,,,
,HIUNDAY,Atos,"4x114,3",1997-2001,,,
,HIUNDAY,Excel,"4x114,3",1985-1998,,,
,,,,,,,
TIPO 1.2.15,CHERY,Fulwin,"4x114,3",2011-2016,,,
"6,5-7-7,5-8""",CHEVROLET,Optra,"4x114,3",2004-2007,,,
,CHEVROLET,Vivant,"4x114,3",1998-2010,,,
,HIUNDAY,Elantra,"4x114,3",1990-2005,,,
,MITSUBISHI,Mirage,"4x114,3",1992,,,
,NISSAN,Tiida,"4x114,3",2007-2016,,,
,NISSAN,Versa ,"4x114,3",2008-2011,,,
,NISSAN,Almera ,"4x114,3",2000-2006,,,
,NISSAN,Sentra ,"4x114,3",2001-2012,,,
,CHERY,Qq,"4x114,3",2011-2016,,,
,CHERY,Vancargo,"4x114,3",2011-2016,,,
,CHERY,Vanpass,"4x114,3",2011-2016,,,
,CHERY,Y380 cargo,"4x114,3",2011-2016,,,
,CHERY,Yoya,"4x114,3",2011-2016,,,
,CHEVROLET,N300 cargo,"4x114,3",2010-2016,,,
,CHEVROLET,N300 pasajeros,"4x114,3",2010-2016,,,
,CHEVROLET,sail,"4x114,3",2012-2016,,,
,DAEWOO,Nubira,"4x114,3",1997-2007,,,
,DAEWOO,Tacuma,"4x114,3",2000-2002,,,
,HAIMA,2,"4x114,3",2011-2016,,,
,HIUNDAY,accent,"4x114,3",1994-1999,,,
,MAZDA,626,"4x114,3",1987-1997,,,
,MITSUBISHI,Lancer,"4x114,3",2007,,,
,RENAULT,Scala,"4x114,3",2010-2016,,,
,MAZDA,323,"4x114,3",2003-2005,,,
,CHERY,Qq 311,"4x114,3",2011-2016,,,
,CHEVROLET,sprint,"4x114,3",1995-2005,,,
,DAEWOO,Matiz,"4x114,3",2000-2012,,,
,HIUNDAY,Atos,"4x114,3",1997-2001,,,
,HIUNDAY,Excel,"4x114,3",1985-1998,,,
,,,,,,,
TIPO 1.2.16,CHEVROLET,Spark ,"4x114,3",2005-2012,,,
"7-7,5""",VOLVO ,S40,"4x114,3",1995-2003,,,
,KIA,Cerato ,"4x114,3",2003-2007,,,
,CHERY,Fulwin,"4x114,3",2011-2016,,,
,CHEVROLET,Optra,"4x114,3",2004-2007,,,
,CHEVROLET,Vivant,"4x114,3",1998-2010,,,
,HIUNDAY,Elantra,"4x114,3",1990-2005,,,
,MITSUBISHI,Mirage,"4x114,3",1992,,,
,NISSAN,Tiida,"4x114,3",2007-2016,,,
,NISSAN,Versa ,"4x114,3",2008-2011,,,
,NISSAN,Almera ,"4x114,3",2000-2006,,,
,NISSAN,Sentra ,"4x114,3",2001-2012,,,
,CHERY,Qq,"4x114,3",2011-2016,,,
,CHERY,Vancargo,"4x114,3",2011-2016,,,
,CHERY,Vanpass,"4x114,3",2011-2016,,,
,CHERY,Y380 cargo,"4x114,3",2011-2016,,,
,CHERY,Yoya,"4x114,3",2011-2016,,,
,CHEVROLET,N300 cargo,"4x114,3",2010-2016,,,
,CHEVROLET,N300 pasajeros,"4x114,3",2010-2016,,,
,CHEVROLET,sail,"4x114,3",2012-2016,,,
,DAEWOO,Nubira,"4x114,3",1997-2007,,,
,DAEWOO,Tacuma,"4x114,3",2000-2002,,,
,HAIMA,2,"4x114,3",2011-2016,,,
,HIUNDAY,accent,"4x114,3",1994-1999,,,
,MAZDA,626,"4x114,3",1987-1997,,,
,MITSUBISHI,Lancer,"4x114,3",2007,,,
,RENAULT,Scala,"4x114,3",2010-2016,,,
,MAZDA,323,"4x114,3",2003-2005,,,
,,,,,,,
TIPO 1.2.17,CHEVROLET,Epica,"4x114,3",2006-2012,,,
"7-7,5""",HIUNDAY,sonata,"4x114,3",1985-2004,,,
,HONDA,Accord,"4x114,3",1993-2003,,,
,KIA,Carens ,"4x114,3",1999-2006,,,
,VOLVO ,V40,"4x114,3",1995-2004,,,
,KIA,Optima,"4x114,3",2000-2005,,,
,CHEVROLET,swift,"4x114,3",1995-2006,,,
,SUZUKI,Swift,"4x114,3",1994-2003,,,
,CHEVROLET,Spark ,"4x114,3",2005-2012,,,
,VOLVO ,S40,"4x114,3",1995-2003,,,
,KIA,Cerato ,"4x114,3",2003-2007,,,
,CHERY,Fulwin,"4x114,3",2011-2016,,,
,CHEVROLET,Optra,"4x114,3",2004-2007,,,
,CHEVROLET,Vivant,"4x114,3",1998-2010,,,
,HIUNDAY,Elantra,"4x114,3",1990-2005,,,
,MITSUBISHI,Mirage,"4x114,3",1992,,,
,NISSAN,Tiida,"4x114,3",2007-2016,,,
,NISSAN,Versa ,"4x114,3",2008-2011,,,
,NISSAN,Almera ,"4x114,3",2000-2006,,,
,NISSAN,Sentra ,"4x114,3",2001-2012,,,
,,,,,,,
,,,,,,,
TIPO 1.3.13,CHANA,star cargo,"(4x100/114,3)",2012-2015,,,
"5,5-6-6,5-7-7,5""",CHANA,star van,"(4x100/114,3)",2012-2015,,,
,CHEVROLET,Chevy,"(4x100/114,3)",2007-2009,,,
,CHEVROLET,Chevy taxi,"(4x100/114,3)",2010-2016,,,
,CHEVROLET,wagon,"(4x100/114,3)",1998-2002,,,
,HAFEI,Minyi,"(4x100/114,3)",2006-2016,,,
,HAFEI,Ruiyi,"(4x100/114,3)",2006-2016,,,
,HAFEI,Zhongyi,"(4x100/114,3)",2006-2016,,,
,HAIMA,1,"(4x100/114,3)",2011-2016,,,
,HIUNDAY,Super pony taxi,"(4x100/114,3)",2013-2016,,,
,CHERY,Qq 311,"(4x100/114,3)",2011-2016,,,
,CHEVROLET,sprint,"(4x100/114,3)",1995-2005,,,
,DAEWOO,Matiz,"(4x100/114,3)",2000-2012,,,
,HIUNDAY,Atos,"(4x100/114,3)",1997-2001,,,
,HIUNDAY,Excel,"(4x100/114,3)",1985-1998,,,
,CHEVROLET,Alto,"(4x100/114,3)",1988-2016,,,
,CHEVROLET,Astra,"(4x100/114,3)",1990-2008,,,
,DAEWOO,Cielo,"(4x100/114,3)",1994-2002,,,
,DAEWOO,lanos,"(4x100/114,3)",2005-2009,,,
,DAEWOO,Racer,"(4x100/114,3)",1994-1997,,,
,DAEWOO,Tico,"(4x100/114,3)",1991-2001,,,
,HIUNDAY,Atos,"(4x100/114,3)",2001-2008,,,
,HIUNDAY,Eon,"(4x100/114,3)",,,,
,KIA,Sephia,"(4x100/114,3)",1995-1998,,,
,KIA,Stylus,"(4x100/114,3)",2010-2016,,,
,MAZDA,Demio,"(4x100/114,3)",1997-2008,,,
,RENAULT,Twingo,"(4x100/114,3)",1993-2016,,,
,SKODA,Felicia,"(4x100/114,3)",1994-2001,,,
,SUZUKI,Alto,"(4x100/114,3)",2002-2016,,,
,,,,,,,
TIPO 1.3.14,CHANA,Benni,"(4x100/114,3)",2012-2015,,,
"5,5-6-6,5""",GONOW,Cargo,"(4x100/114,3)",2013-2015,,,
,GONOW,Pass,"(4x100/114,3)",2013-2015,,,
,HAFEI,Luzun,"(4x100/114,3)",2006-2016,,,
,HIUNDAY,City taxi,"(4x100/114,3)",2013-2016,,,
,HIUNDAY,Grand pony taxi,"(4x100/114,3)",2013-2016,,,
,JAC,smile,"(4x100/114,3)",2012-2016,,,
,JAC,star taxi,"(4x100/114,3)",2012-2016,,,
,JAC,Street taxi,"(4x100/114,3)",2012-2016,,,
,JAC,Veloce,"(4x100/114,3)",2012-2016,,,
,LIFAN,Dura Truck,"(4x100/114,3)",2010-2015,,,
,LIFAN,Livan pasajeros,"(4x100/114,3)",2010-2015,,,
,CHERY,Qq,"(4x100/114,3)",2011-2016,,,
,CHERY,Vancargo,"(4x100/114,3)",2011-2016,,,
,CHERY,Vanpass,"(4x100/114,3)",2011-2016,,,
,CHERY,Y380 cargo,"(4x100/114,3)",2011-2016,,,
,CHERY,Yoya,"(4x100/114,3)",2011-2016,,,
